commodity,scenario,severity,horizon_months,threshold,prob_exceed
rubber,baseline,0.75,12,0.15,0.3526
rubber,baseline,0.75,12,0.2,0.2905
rubber,baseline,1.0,3,0.05,0.3943
rubber,baseline,1.0,3,0.1,0.2587
rubber,baseline,1.0,3,0.15,0.1533
rubber,baseline,1.0,3,0.2,0.0838
rubber,baseline,1.0,6,0.05,0.4438
rubber,baseline,1.0,6,0.1,0.3449
rubber,baseline,1.0,6,0.15,0.2606
rubber,baseline,1.0,6,0.2,0.1876
rubber,baseline,1.0,12,0.05,0.4937
rubber,baseline,1.0,12,0.1,0.4194
rubber,baseline,1.0,12,0.15,0.3526
rubber,baseline,1.0,12,0.2,0.2905
rubber,baseline,1.25,3,0.05,0.3943
rubber,baseline,1.25,3,0.1,0.2587
rubber,baseline,1.25,3,0.15,0.1533
rubber,baseline,1.25,3,0.2,0.0838
rubber,baseline,1.25,6,0.05,0.4438
rubber,baseline,1.25,6,0.1,0.3449
rubber,baseline,1.25,6,0.15,0.2606
rubber,baseline,1.25,6,0.2,0.1876
rubber,baseline,1.25,12,0.05,0.4937
rubber,baseline,1.25,12,0.1,0.4194
rubber,baseline,1.25,12,0.15,0.3526
rubber,baseline,1.25,12,0.2,0.2905
rubber,baseline,1.5,3,0.05,0.3943
rubber,baseline,1.5,3,0.1,0.2587
rubber,baseline,1.5,3,0.15,0.1533
rubber,baseline,1.5,3,0.2,0.0838
rubber,baseline,1.5,6,0.05,0.4438
rubber,baseline,1.5,6,0.1,0.3449
rubber,baseline,1.5,6,0.15,0.2606
rubber,baseline,1.5,6,0.2,0.1876
rubber,baseline,1.5,12,0.05,0.4937
rubber,baseline,1.5,12,0.1,0.4194
rubber,baseline,1.5,12,0.15,0.3526
rubber,baseline,1.5,12,0.2,0.2905
rubber,baseline,1.75,3,0.05,0.3943
rubber,baseline,1.75,3,0.1,0.2587
rubber,baseline,1.75,3,0.15,0.1533
rubber,baseline,1.75,3,0.2,0.0838
rubber,baseline,1.75,6,0.05,0.4438
rubber,baseline,1.75,6,0.1,0.3449
rubber,baseline,1.75,6,0.15,0.2606
rubber,baseline,1.75,6,0.2,0.1876
rubber,baseline,1.75,12,0.05,0.4937
rubber,baseline,1.75,12,0.1,0.4194
rubber,baseline,1.75,12,0.15,0.3526
rubber,baseline,1.75,12,0.2,0.2905
rubber,baseline,2.0,3,0.05,0.3943
rubber,baseline,2.0,3,0.1,0.2587
rubber,baseline,2.0,3,0.15,0.1533
rubber,baseline,2.0,3,0.2,0.0838
rubber,baseline,2.0,6,0.05,0.4438
rubber,baseline,2.0,6,0.1,0.3449
rubber,baseline,2.0,6,0.15,0.2606
rubber,baseline,2.0,6,0.2,0.1876
rubber,baseline,2.0,12,0.05,0.4937
rubber,baseline,2.0,12,0.1,0.4194
rubber,baseline,2.0,12,0.15,0.3526
rubber,baseline,2.0,12,0.2,0.2905
rubber,el_nino,0.0,3,0.05,0.3943
rubber,el_nino,0.0,3,0.1,0.2587
rubber,el_nino,0.0,3,0.15,0.1533
rubber,el_nino,0.0,3,0.2,0.0838
rubber,el_nino,0.0,6,0.05,0.4438
rubber,el_nino,0.0,6,0.1,0.3449
rubber,el_nino,0.0,6,0.15,0.2606
rubber,el_nino,0.0,6,0.2,0.1876
rubber,el_nino,0.0,12,0.05,0.4937
rubber,el_nino,0.0,12,0.1,0.4194
rubber,el_nino,0.0,12,0.15,0.3526
rubber,el_nino,0.0,12,0.2,0.2905
rubber,el_nino,0.25,3,0.05,0.465
rubber,el_nino,0.25,3,0.1,0.313
rubber,el_nino,0.25,3,0.15,0.1965
rubber,el_nino,0.25,3,0.2,0.1127
rubber,el_nino,0.25,6,0.05,0.5371
rubber,el_nino,0.25,6,0.1,0.4285
rubber,el_nino,0.25,6,0.15,0.3344
rubber,el_nino,0.25,6,0.2,0.2541
rubber,el_nino,0.25,12,0.05,0.6189
rubber,el_nino,0.25,12,0.1,0.5431
rubber,el_nino,0.25,12,0.15,0.4735
